Los Angeles,A,0.9
Los Angeles,B,0
Los Angeles,C,0.1
Los Angeles,D,0.1
Los Angeles,E,0.1
Los Angeles,F,0.1
Los Angeles,G,0.1
Los Angeles,H,0.1
Los Angeles,I,0.1
Los Angeles,J,0.1
San Antonio,A,0.9
San Antonio,B,0
San Antonio,C,0.1
San Antonio,D,0.1
San Antonio,E,0.1
San Antonio,F,0.1
San Antonio,G,0.1
San Antonio,H,0.1
San Antonio,I,0.1
San Antonio,J,0.1
Houston,A,0.9
Houston,B,0
Houston,C,0.1
Houston,D,0.1
Houston,E,0.1
Houston,F,0.1
Houston,G,0.1
Houston,H,0.1
Houston,I,0.1
Houston,J,0.1
Chicago,A,0.9
Chicago,B,0
Chicago,C,0.1
Chicago,D,0.1
Chicago,E,0.1
Chicago,F,0.1
Chicago,G,0.1
Chicago,H,0.1
Chicago,I,0.1
Chicago,J,0.1
Detroit,A,0.9
Detroit,B,0
Detroit,C,0.1
Detroit,D,0.1
Detroit,E,0.1
Detroit,F,0.1
Detroit,G,0.1
Detroit,H,0.1
Detroit,I,0.1
Detroit,J,0.1
Pittsburgh,A,0.9
Pittsburgh,B,0
Pittsburgh,C,0.1
Pittsburgh,D,0.1
Pittsburgh,E,0.1
Pittsburgh,F,0.1
Pittsburgh,G,0.1
Pittsburgh,H,0.1
Pittsburgh,I,0.1
Pittsburgh,J,0.1
Atlanta,A,0.9
Atlanta,B,0
Atlanta,C,0.1
Atlanta,D,0.1
Atlanta,E,0.1
Atlanta,F,0.1
Atlanta,G,0.1
Atlanta,H,0.1
Atlanta,I,0.1
Atlanta,J,0.1
Miami,A,0.9
Miami,B,0
Miami,C,0.1
Miami,D,0.1
Miami,E,0.1
Miami,F,0.1
Miami,G,0.1
Miami,H,0.1
Miami,I,0.1
Miami,J,0.1
Jersey City,A,0.9
Jersey City,B,0
Jersey City,C,0.1
Jersey City,D,0.1
Jersey City,E,0.1
Jersey City,F,0.1
Jersey City,G,0.1
Jersey City,H,0.1
Jersey City,I,0.1
Jersey City,J,0.1
Milwaukee,A,0.9
Milwaukee,B,0
Milwaukee,C,0.1
Milwaukee,D,0.1
Milwaukee,E,0.1
Milwaukee,F,0.1
Milwaukee,G,0.1
Milwaukee,H,0.1
Milwaukee,I,0.1
Milwaukee,J,0.1
