user_id,movie_id_ml,rating,rating_timestamp
196,242,3,1997-12-04 15:55:49
186,302,3,1998-04-04 19:22:22
22,377,1,1997-11-07 07:18:36
244,51,2,1997-11-27 05:02:03
166,346,1,1998-02-02 05:33:16
298,474,4,1998-01-07 14:20:06
115,265,2,1997-12-03 17:51:28
253,465,5,1998-04-03 18:34:27
305,451,3,1998-02-01 09:20:17
6,86,3,1997-12-31 21:16:53
62,257,2,1997-11-12 22:07:14
286,1014,5,1997-11-17 15:38:45
200,222,5,1997-10-05 09:05:40
210,40,3,1998-03-27 21:59:54
224,29,3,1998-02-21 23:40:57
303,785,3,1997-11-14 05:28:38
122,387,5,1997-11-11 17:47:39
194,274,2,1997-11-14 20:36:34
291,1042,4,1997-09-21 09:42:24
234,1184,2,1998-04-08 23:47:17
119,392,4,1998-01-30 16:13:34
167,486,4,1998-04-16 14:54:12
299,144,4,1997-10-26 15:55:20
291,118,2,1997-09-21 09:24:38
308,1,4,1998-02-17 17:28:52
95,546,2,1997-11-10 21:16:06
38,95,5,1998-04-13 01:14:54
102,768,2,1998-01-02 13:40:50
63,277,4,1997-10-01 23:10:01
160,234,5,1997-10-14 20:33:05
50,246,3,1997-10-17 01:38:49
301,98,4,1997-12-14 05:03:47
225,193,4,1997-11-14 20:35:27
290,88,4,1997-11-28 15:46:03
97,194,3,1998-01-08 05:54:20
157,274,4,1998-02-07 22:33:55
181,1081,1,1997-11-08 04:17:03
278,603,5,1998-03-30 22:02:10
276,796,1,1997-09-20 21:45:32
7,32,4,1998-03-31 13:28:52
10,16,4,1997-10-26 18:01:17
284,304,4,1998-01-20 20:48:42
201,979,2,1998-01-06 19:17:13
276,564,3,1997-09-20 21:43:25
287,327,5,1997-09-27 04:18:36
246,201,5,1998-01-16 03:33:14
242,1137,5,1997-11-17 04:33:16
249,241,5,1997-11-16 00:46:34
99,4,5,1998-02-03 15:18:17
178,332,3,1997-12-22 20:43:57
251,100,4,1998-01-31 18:38:04
81,432,2,1997-10-11 01:58:51
260,322,4,1998-03-23 02:08:18
25,181,5,1998-01-26 22:23:35
59,196,5,1998-02-23 03:38:08
72,679,2,1997-11-20 14:46:04
87,384,4,1997-11-18 18:18:47
290,143,5,1997-11-25 16:11:33
42,423,5,1997-12-03 00:08:07
292,515,4,1997-12-02 23:06:17
115,20,3,1997-12-03 17:43:29
20,288,1,1997-11-16 08:06:24
201,219,4,1998-01-06 18:51:13
13,526,3,1997-12-14 23:10:53
246,919,4,1998-01-16 03:22:29
138,26,5,1997-11-08 21:23:52
167,232,1,1998-04-16 14:52:21
60,427,5,1997-12-28 16:30:20
57,304,5,1998-01-01 23:49:41
223,274,4,1998-04-02 20:48:14
189,512,4,1998-04-22 20:41:42
243,15,3,1997-11-20 00:57:20
92,1049,1,1998-03-18 20:10:26
246,416,3,1998-01-16 03:57:27
194,165,4,1997-11-14 22:32:03
241,690,2,1998-02-12 02:11:22
178,248,4,1997-12-22 20:52:34
254,1444,3,1998-02-03 03:12:38
293,5,3,1998-03-03 06:29:36
127,229,5,1998-01-09 16:54:27
225,237,5,1997-11-14 20:34:03
299,229,3,1997-10-30 06:20:29
225,480,5,1997-11-14 20:52:28
276,54,3,1997-09-20 21:30:25
291,144,5,1997-09-21 09:44:51
222,366,4,1997-10-30 03:49:41
267,518,5,1997-11-08 06:49:33
42,403,3,1997-12-03 00:24:44
11,111,4,1998-04-06 23:04:22
95,625,4,1998-03-03 19:46:52
8,338,4,1997-11-12 19:11:13
162,25,4,1997-10-23 19:39:33
87,1016,4,1997-11-18 18:03:14
279,154,5,1997-09-26 17:51:31
145,275,2,1998-01-23 12:11:45
119,1153,5,1997-09-20 18:46:38
62,498,4,1997-11-12 22:30:48
62,382,3,1997-11-12 22:58:57
28,209,4,1997-12-12 21:13:34
135,23,4,1997-11-18 12:56:05
32,294,3,1998-01-02 02:57:43
90,382,5,1998-03-31 22:37:15
286,208,4,1997-10-22 14:52:22
293,685,3,1998-03-03 06:06:10
216,144,4,1997-11-22 21:37:19
166,328,5,1998-02-02 05:35:22
